2024.10.6,你妈妈也一样（2001）,拉美/影史经典,Alfonso Cuarón,,,
2024.9.29,天涯沦落女（1985）,欧美/女性/影史经典,Agnès Varda,,,
2024.9.27,鬼怪屋（1977）,日影/喜剧/奇观影像,大林宣彦,2024.11.1重放,,
2024.9.22,修罗雪姬（1973）,日影/奇观影像,藤田敏八/小池一夫,,,
2024.9.22,被嫌弃的松子的一生（2006）,日影/影史经典,中岛哲也,,,
2024.9.15,独自生活的人们（2021）,韩影,洪性恩,,,
2024.9.14,青春祭（1985）,华语,张暖忻,,,
2024.9.13,Contretemps（2021）,短片/欧美/动画,Various Artists,,,
2024.9.13,Pussy (Cipka)（2016）,短片/女性/东欧苏俄/奇观影像/动画,Renata Gąsiorowska,2024.11.3重放,,
2024.9.13,怪谈（1964）,日影/影史经典,小林正树/小泉八云,guest,,
2024.9.8,绿色唱片（2004）,拉美/短片/奇观影像,Kleber Mendonça Filho,,,
2024.9.8,帕乌利什塔的手（1998）,东欧苏俄/短片,Cristian Mungiu,,,
2024.9.8,身体记着世间何时崩裂（2019）,欧美/女性,Kathleen Hepburn/Elle-Máijá Tailfeathers,,,
2024.9.8,X圣治（1997）,日影/惊悚/影史经典/电波,黑泽清,,,
2024.9.2,花与爱丽丝（2004）,INFP影像/日影,岩井俊二,,,
2024.9.1,欢乐街（1995）,欧美/短片/动画/奇观影像,Suzan Pitt,guest,,
2024.9.1,芦笋（1979）,欧美/女性/短片/动画/奇观影像,Suzan Pitt,guest,,
2024.9.1,硝烟中诞生（1983）,欧美/左翼/女性,Lizzie Borden,纽约,,
2024.8.31,东京金盏花（2001）,INFP影像/日影,市川准,,,
2024.8.29,自梳（1997）,华语/女性/酷儿,张之亮/小唐,,,
2024.8.28,爱与时尚（1998）,INFP影像/日影/电波,庵野秀明,guest,,
2024.8.25,妓院里的回忆（2011）,欧美,Bertrand Bonello,性工作者肖像1,,
2024.8.22,人鱼传说（1984）,日影/奇观影像,池田敏春,guest,,
2024.8.21,三女性（1977）,欧美/影史经典,Robert Altman,,,
2024.8.20,夏日感悟（2015）,INFP影像/欧美,Mikhaël Hers,,,
2024.8.17,巴黎夜旅人（2022）,INFP影像/欧美,Mikhaël Hers,,,
2024.8.10,丛林怪兽（1969）,拉美/奇观影像,Joaquim Pedro de Andrade,,,
2024.7.28,贫穷的吸血鬼（1978）,拉美/左翼/短片,Carlos Mayolo/Luis Ospina,,,
2024.7.27,我的狗狗王子（2011）,欧美/实验,田芬,guest,,
2024.7.27,My house walk-through（2016）,日影/实验/短片/惊悚,PiroPito（nana825763）,,,
2024.7.25,放大（1966）,欧美/影史经典,Michelangelo Antonioni,,,
2024.7.21,琳达！琳达！琳达！（2005）,INFP影像/日影,山下敦弘,,,
2024.7.21,李文漫游东湖（2015）,华语,李珞,,,
2024.7.11,交通意外（1971）,欧美/喜剧,Jacques Tati,,,
2024.7.11,杀手烙印（1967）,日影,铃木清顺,guest,,
2024.7.11,钟声（2024）,日影/短片/电波,黑泽清,,,
2024.7.7,唐皇游地府（2012）,华语,李珞,,,
2024.7.7,清洁（2004）,欧美,Olivier Assayas,,,
2024.6.29,哈哈笑（2002）,欧美,Andrew Bujalski,guest,,
2024.6.29,猫样少女（2001）,韩影/女性/INFP影像,郑在恩,,,
2024.6.27,八美图（2002）,欧美,François Ozon,guest,,
2024.6.23,投奔怒海（1982）,华语/影史经典,许鞍华/邱刚健,香港新浪潮1,,
2024.6.19,寻找西瓜女（1996）,欧美/女性/酷儿/左翼,Cheryl Dunye,,,
2024.6.16,女朋友（1978）,欧美/女性,Claudia Weill,纽约,,
2024.6.9,还有明天（2023）,欧美/女性,Paola Cortellesi,,,
2024.6.4,金甲虫（2014）,拉美/左翼,Alejo Moguillansky/Mariano Llinás,,,
2024.6.2,黑暗（1982）,欧美/惊悚/奇观影像,Dario Argento,,,
2024.5.28,甜蜜的东方（2023）,欧美,Sean Price Williams,,,
2024.5.26,火之谜（2023）,欧美/喜剧,Weston Razooli,,,
2024.5.18,悲情城市（1989）,华语/影史经典,侯孝贤,,,
